	cluster
GTEX-11EQ9-2126-SM-5PNVW	2
GTEX-13X6H-0526-SM-5LU4Q	3
GTEX-X8HC-0006-SM-46MV6	1
GTEX-Q2AG-0226-SM-2S1P4	4
GTEX-Y9LG-0526-SM-4VBRY	0
GTEX-1122O-0226-SM-5N9DA	3
GTEX-13OVL-1426-SM-5IJC1	2
GTEX-VUSG-2626-SM-4KKZI	2
GTEX-13QBU-0726-SM-5J2OA	0
GTEX-139T6-0326-SM-5J2LY	3
GTEX-X4LF-0426-SM-3NMB5	3
GTEX-OXRN-0526-SM-2I5EN	0
GTEX-1313W-0926-SM-5EQ56	0
GTEX-111YS-2426-SM-5GZZQ	4
GTEX-XMK1-2226-SM-4B673	4
GTEX-X15G-0005-SM-3NMDA	1
GTEX-131XW-0006-SM-5O9AO	1
GTEX-11VI4-0006-SM-5N9D8	1
GTEX-1269C-2626-SM-5EQ5C	2
GTEX-11NUK-1026-SM-5HL5J	3
GTEX-12ZZY-0926-SM-5EQ6I	0
GTEX-ZPCL-2126-SM-57WFZ	4
GTEX-131XG-0226-SM-5IFG1	3
GTEX-ZYY3-0926-SM-5E454	0
GTEX-R3RS-0726-SM-3GIJR	3
GTEX-13JUV-2326-SM-5IJCE	2
GTEX-OOBJ-2626-SM-2I3F6	3
GTEX-13VXT-0226-SM-5LU9Q	4
GTEX-P4PQ-2626-SM-33HC9	3
GTEX-X4XY-0826-SM-4E3JM	3
GTEX-PW2O-0006-SM-2I3DV	1
GTEX-XMK1-0626-SM-4B65A	3
GTEX-11O72-0006-SM-5O9DB	1
GTEX-12584-1426-SM-5EGJ9	0
GTEX-WH7G-0526-SM-3NMBI	3
GTEX-QEL4-0626-SM-3GIJM	2
GTEX-ZZ64-1626-SM-5E43W	4
GTEX-12ZZY-0826-SM-5EQMT	3
GTEX-13FTX-0005-SM-5N9F6	1
GTEX-Y8E4-0006-SM-4V6EW	1
GTEX-1339X-0626-SM-5IJER	0
GTEX-146FH-0526-SM-5QGQ3	2
GTEX-12WSE-0826-SM-5S2VL	0
GTEX-ZDYS-2126-SM-5S2OD	4
GTEX-13NYC-0726-SM-5J2NQ	2
GTEX-11UD2-0005-SM-5NQ9B	1
GTEX-11ZTT-0006-SM-5N9FX	1
GTEX-OXRP-0006-SM-2I3FN	1
GTEX-1399U-0826-SM-5KM1P	0
GTEX-131XE-0126-SM-5LZVC	3
GTEX-12WSC-0226-SM-5EQ52	4
GTEX-O5YV-0006-SM-2I5GX	1
GTEX-139D8-0006-SM-5LZX8	1
GTEX-13N1W-0226-SM-5K7W6	4
GTEX-WRHK-1626-SM-3MJFH	2
GTEX-PWOO-2226-SM-2S1P1	4
GTEX-11UD2-0126-SM-5EQL2	4
GTEX-WWTW-0626-SM-4MVNS	2
GTEX-XUYS-0226-SM-47JX1	4
GTEX-147F3-0626-SM-5NQ9I	4
GTEX-148VI-0006-SM-5O9A6	1
GTEX-X4LF-1726-SM-3NMBZ	4
GTEX-Z93T-0226-SM-5HL5Z	4
GTEX-U3ZN-0006-SM-3DB7Y	1
GTEX-U412-0526-SM-3DB9I	4
GTEX-11TUW-0226-SM-5LU8X	3
GTEX-SIU8-0526-SM-2XCDP	2
GTEX-WWYW-0005-SM-3NB3K	1
GTEX-WXYG-2526-SM-3NB3F	2
GTEX-XUJ4-0726-SM-4BOOP	3
GTEX-RNOR-0526-SM-2TF4O	2
GTEX-ZV68-0006-SM-4YCEJ	1
GTEX-13QIC-1226-SM-5K7YR	2
GTEX-OIZI-1026-SM-3NB1K	0
GTEX-PW2O-0526-SM-2I3DX	0
GTEX-13PVR-2526-SM-5RQIT	2
GTEX-13IVO-0926-SM-5KLZP	3
GTEX-11P82-0006-SM-5N9FY	1
GTEX-S3XE-2026-SM-3K2B5	2
GTEX-11ZTT-1026-SM-5EQKF	3
GTEX-11ZU8-2326-SM-5EQMJ	2
GTEX-ZP4G-2326-SM-57WEM	4
GTEX-12WSL-2726-SM-5CVNL	2
GTEX-Y111-0006-SM-4SOIO	1
GTEX-111VG-0726-SM-5GIDC	0
GTEX-11O72-2326-SM-5BC7H	3
GTEX-11P82-1726-SM-5Q5AT	4
GTEX-ZYFD-0226-SM-5NQ86	4
GTEX-QMRM-0005-SM-3NB2A	1
GTEX-11DXX-0626-SM-5Q5AG	0
GTEX-13O21-1726-SM-5MR5A	2
GTEX-Y8E5-0006-SM-47JWQ	1
GTEX-11EI6-0726-SM-59866	3
GTEX-W5X1-0426-SM-3GILB	3
GTEX-XV7Q-0426-SM-4BRVN	0
GTEX-V955-0005-SM-3P5ZC	1
GTEX-131XH-0426-SM-5DUWU	0
GTEX-XLM4-0005-SM-4AT4P	1
GTEX-139TS-0126-SM-5K7XJ	3
GTEX-146FQ-0226-SM-5NQAL	4
GTEX-WYJK-0826-SM-3NM8Y	0
GTEX-OXRN-1326-SM-3LK5V	2
GTEX-13FLV-0226-SM-5J2OF	3
GTEX-Y8E4-0126-SM-4VBQ2	3
GTEX-ZXG5-0226-SM-59HJI	4
GTEX-PLZ6-1326-SM-3NB24	4
GTEX-13N11-2726-SM-5L3ER	2
GTEX-WEY5-0526-SM-3GIKZ	3
GTEX-ZYFG-0626-SM-5GZYA	3
GTEX-QCQG-1826-SM-2S1P2	4
GTEX-VUSG-2426-SM-4KKZG	4
GTEX-YB5E-2126-SM-5IFI7	4
GTEX-12BJ1-0006-SM-5SIB5	1
GTEX-145MH-0426-SM-5LU8T	3
GTEX-Q2AH-0426-SM-2I3EP	0
GTEX-13G51-2626-SM-5LZYW	4
GTEX-WVLH-0626-SM-3MJG7	3
GTEX-OXRP-0326-SM-33HBJ	3
GTEX-111YS-0626-SM-5GZXV	0
GTEX-131YS-0226-SM-5IJEH	4
GTEX-11EMC-2826-SM-5PNY6	4
GTEX-RNOR-0926-SM-2TF56	3
GTEX-12ZZX-0005-SM-5O9A9	1
GTEX-WZTO-0826-SM-3NM8Q	2
GTEX-11TUW-2626-SM-5EQKZ	4
GTEX-12WSD-0526-SM-5EQ6F	2
GTEX-11NSD-2026-SM-5HL5U	2
GTEX-11P7K-0226-SM-5986Z	3
GTEX-11GSO-0005-SM-5O9CA	1
GTEX-ZDYS-1726-SM-5HL4Y	2
GTEX-VJYA-0005-SM-3P5ZD	1
GTEX-RWS6-0226-SM-2XCA9	0
GTEX-YFCO-0426-SM-4W1Z7	0
GTEX-1211K-0006-SM-5MR53	1
GTEX-WXYG-0226-SM-3NB2Y	3
GTEX-13FXS-0006-SM-5O99X	1
GTEX-PVOW-1026-SM-2XCF9	0
GTEX-WFG7-0005-SM-3GIKM	1
GTEX-Q734-0006-SM-2I3FJ	1
GTEX-PWOO-2326-SM-2S1PQ	2
GTEX-OHPL-1626-SM-2HMIR	2
GTEX-TKQ1-1126-SM-4GIAZ	4
GTEX-11ZUS-0006-SM-5O9AJ	1
GTEX-13IVO-0626-SM-5LZYJ	2
GTEX-ZYFC-0926-SM-5GZWW	3
GTEX-ZYT6-0426-SM-5GID3	3
GTEX-13W3W-2626-SM-5SIA2	2
GTEX-Y5V6-2626-SM-5IFIX	2
GTEX-111YS-0006-SM-5NQBE	1
GTEX-NPJ8-1626-SM-2HMIY	2
GTEX-WEY5-1926-SM-3GIL8	4
GTEX-13S86-2326-SM-5RQK1	2
GTEX-S32W-0726-SM-2XCBL	3
GTEX-ZC5H-0326-SM-5HL9F	2
GTEX-132AR-1126-SM-5P9GA	3
GTEX-XQ3S-0006-SM-4BOQ4	1
GTEX-ZV7C-0005-SM-57WDL	1
GTEX-13NZ8-2126-SM-5L3EO	2
GTEX-13YAN-0526-SM-5O9BE	2
GTEX-11DXZ-0926-SM-5N9CG	3
GTEX-ZYW4-0526-SM-5GZZ5	2
GTEX-RWS6-0626-SM-2XCAS	3
GTEX-YJ89-0726-SM-5P9F7	3
GTEX-WFG8-0006-SM-3GIKS	1
GTEX-T6MN-0526-SM-32PMS	2
GTEX-1399Q-2426-SM-5J2MO	2
GTEX-OXRP-0526-SM-2I3EW	0
GTEX-13FHP-0926-SM-5L3EC	3
GTEX-WHSB-1626-SM-3LK6J	3
GTEX-117YW-0005-SM-5NQ8Z	1
GTEX-XQ3S-1626-SM-4WAYN	4
GTEX-RTLS-0006-SM-2TF58	1
GTEX-13N1W-0726-SM-5MR57	0
GTEX-11UD2-0326-SM-5EQLE	2
GTEX-NL3H-0006-SM-2I3FW	1
GTEX-U3ZH-0526-SM-3DB75	0
GTEX-ZYWO-2626-SM-5E43V	2
GTEX-QDVN-0726-SM-4B64L	0
GTEX-ZE7O-0826-SM-57WCP	0
GTEX-ZVT2-2426-SM-57WCQ	2
GTEX-REY6-0326-SM-2TF5A	4
GTEX-S32W-2226-SM-2XCAY	4
GTEX-U3ZH-0005-SM-3DB72	1
GTEX-13112-0326-SM-5P9IW	3
GTEX-XOT4-1426-SM-4B65T	0
GTEX-PLZ5-1726-SM-2I5F6	2
